length,width
0.000726216412490932,0.0
0.005809731299927345,0.013071895424836602
0.01089324618736387,0.020334059549745823
0.015976761074800283,0.026870007262164125
0.021060275962236696,0.03340595497458242
0.02614379084967322,0.0392156862745098
0.031227305737109634,0.04429920116194626
0.03631082062454616,0.050835148874364564
0.04139433551198257,0.05591866376180102
0.046477850399418985,0.06027596223674655
0.05156136528685551,0.06535947712418301
0.05664488017429192,0.07044299201161947
0.061002178649237515,0.074800290486565
0.06608569353667393,0.07988380537400146
0.07116920842411034,0.08496732026143791
0.07625272331154687,0.08932461873638345
0.08133623819898328,0.09368191721132897
0.0864197530864198,0.09731299927378359
0.09150326797385622,0.10021786492374728
0.09658678286129263,0.10239651416122005
0.10167029774872915,0.10239651416122005
0.10675381263616557,0.10167029774872913
0.11183732752360198,0.09949164851125636
0.1169208424110385,0.09658678286129267
0.12127814088598399,0.09513435003631082
0.1263616557734205,0.0944081336238199
0.13144517066085692,0.09586056644880174
0.13652868554829334,0.09949164851125636
0.14161220043572986,0.10384894698620188
0.14669571532316628,0.11038489469862019
0.1517792302106028,0.11546840958605664
0.1568627450980392,0.1205519244734931
0.16194625998547563,0.12273057371096587
0.16702977487291215,0.1205519244734931
0.17211328976034856,0.11692084241103849
0.1771968046477851,0.11328976034858387
0.18155410312273057,0.10965867828612927
0.18663761801016698,0.10530137981118373
0.1917211328976035,0.10312273057371096
0.19680464778503992,0.10384894698620188
0.20188816267247645,0.10675381263616558
0.20697167755991286,0.10965867828612927
0.21205519244734927,0.11183732752360204
0.2171387073347858,0.11256354393609296
0.2222222222222222,0.11474219317356572
0.22730573710965862,0.11909949164851126
0.23238925199709515,0.12854030501089325
0.23674655047204063,0.1430646332607117
0.24183006535947715,0.1532316630355846
0.24691358024691357,0.1626724763979666
0.2519970951343501,0.17501815541031226
0.2570806100217865,0.1822803195352215
0.2621641249092229,0.18809005083514888
0.26724763979665944,0.19462599854756718
0.27233115468409586,0.20624546114742193
